studyid,authors,year,state_or_territory,outcome,measure,time_status_of_measure,includes_complete_dichotomous,setting,studygroups,studygroups_alternative,ITT,technique,information reported,Parameter name,Coefficient/estimate,SE,DF,Page
1a,Lind et al.,2002,NSW,theft or drug offences,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.055,NA,NA,NA,NA,38
1a,Lind et al.,2002,NSW,theft offences,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.144,NA,NA,NA,NA,38
1a,Lind et al.,2002,NSW,"break, enter, and steal offences",survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.735 ,NA,NA,NA,NA,39
1a,Lind et al.,2002,NSW,fraud offences,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.158 ,NA,NA,NA,NA,39
1a,Lind et al.,2002,NSW,shop stealing offences,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.016 ,NA,NA,NA,NA,39
1a,Lind et al.,2002,NSW,larceny other than shop stealing offences,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.612,NA,NA,NA,NA,39
1a,Lind et al.,2002,NSW,unlawful possession offences,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.108,NA,NA,NA,NA,39
1a,Lind et al.,2002,NSW,motor vehicle theft offences,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.772,NA,NA,NA,NA,39
1a,Lind et al.,2002,NSW,any drug offence,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.005,NA,NA,NA,NA,41
1a,Lind et al.,2002,NSW,"possess/use opiates,
Survival function based on free time",survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.022,NA,NA,NA,NA,41
1a,Lind et al.,2002,NSW,possess/use cannabis,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.419,NA,NA,NA,NA,41
1a,Lind et al.,2002,NSW,possess/use other drug,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.233,NA,NA,NA,NA,41
1a,Lind et al.,2002,NSW,deal/traffic opiates,survival,free time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.983 ,NA,NA,NA,NA,41
1a,Lind et al.,2002,NSW,theft or drug offences,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.809,NA,NA,NA,NA,41
1a,Lind et al.,2002,NSW,theft offences,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.576,NA,NA,NA,NA,42
1a,Lind et al.,2002,NSW,"break, enter, and steal offences",survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.612,NA,NA,NA,NA,42
1a,Lind et al.,2002,NSW,fraud offences,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.090,NA,NA,NA,NA,42
1a,Lind et al.,2002,NSW,shop stealing offences,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.145,NA,NA,NA,NA,42
1a,Lind et al.,2002,NSW,larceny other than shop stealing offences,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.492,NA,NA,NA,NA,42
1a,Lind et al.,2002,NSW,unlawful possession offences,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.629,NA,NA,NA,NA,42
1a,Lind et al.,2002,NSW,motor vehicle theft offences,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.327,NA,NA,NA,NA,43
1a,Lind et al.,2002,NSW,any drug offence,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.041,NA,NA,NA,NA,43
1a,Lind et al.,2002,NSW,"possess/use opiates,
Survival function based on free time",survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.065,NA,NA,NA,NA,43
1a,Lind et al.,2002,NSW,possess/use cannabis,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.804,NA,NA,NA,NA,43
1a,Lind et al.,2002,NSW,possess/use other drug,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.358,NA,NA,NA,NA,43
1a,Lind et al.,2002,NSW,deal/traffic opiates,survival,elapsed time,No,DC,standard,NA,Graduates/Failures,Kaplan-Meier survival functions ,log-rank: p = 0.786,NA,NA,NA,NA,43
1a,Lind et al.,2002,NSW,theft offences,time to first offence,free time,No,DC,standard,NA,Graduates/Failures,proportional hazard,"DF, parameter estimate, standard error, chi-square, p for the following: Group (treated v. control),  status (terminated vs not terminated), Age, Gender, Prior imprisonment, Previous convictions. mean time to first offence (terminated = 216 days, not terminated = 408,  cont = 299)",group (treated v. control),-0.762,0.2,1,47
1a,Lind et al.,2002,NSW,drug offences,time to first offence,free time,No,DC,standard,NA,Graduates/Failures,proportional hazard,"DF, parameter estimate, standard error, chi-square, p for the following: Group (treated v. control),  status (terminated vs not terminated), Age, Gender, Prior imprisonment, Previous convictions. mean time to first offence (terminated = 433 days, not terminated = 567,  cont = 485)",group (treated v. control),-1.61,0.542,1,47
1a,Lind et al.,2002,NSW,theft or drug offences,time to first offence,free time,No,DC,standard,NA,Graduates/Failures,proportional hazard,"group (treatment vs control p<0.0001), participation status (terminated vs not terminated <0.0001),  mean time to first offence (terminated = 192 days, not terminated, 408,  cont = 279)",NA,NA,NA,NA,48
1a,Lind et al.,2002,NSW,theft offences,time to first offence,elapsed time,No,DC,standard,NA,Graduates/Failures,proportional hazard,"DF, parameter estimate, standard error, chi-square, p for the following: Group (treated v. control),  status (terminated vs not terminated), Age, Gender, Prior imprisonment, Previous convictions. mean time to first offence (terminated = 303 days, not terminated, 447,  cont = 375)",group (treated v. control),-0.319,0.198,1,49
1a,Lind et al.,2002,NSW,drug offences,time to first offence,elapsed time,No,DC,standard,NA,Graduates/Failures,proportional hazard,"DF, parameter estimate, standard error, chi-square, p for the following: Group (treated v. control),  status (terminated vs not terminated), Age, Gender, Prior imprisonment, Previous convictions, mean time to first offence (terminated = 553 days, not terminated, 582,  cont = 516)",group (treated v. control),0.96,0.525,1,49
1a,Lind et al.,2002,NSW,theft or drug offences,time to first offence,elapsed time,No,DC,standard,NA,Graduates/Failures,proportional hazard,"group (treatment vs control p=0.0652), participation status (terminated vs not terminated <0.0001),  mean time to first offence (terminated = 291 days, not terminated = 436,  cont = 358)",NA,NA,NA,NA,50
1a,Lind et al.,2002,NSW,theft offences,mean annualized arrests (regressed),free time,No,DC,standard,NA,Graduates/Failures,negative binomial,"DF, parameter estimate, standard error, chi-square, p for the following: Intercept, Group (treated v. control), Termination, Age, Gender, Prior imprisonment, Previous convictions, mean offending frequency (terminated = 5.83 days, not terminated = 1.00,  cont = 4.04)",group (treated v. control),-1.119,0.235,1,51
1a,Lind et al.,2002,NSW,drug offences,mean annualized arrests (regressed),free time,No,DC,standard,NA,Graduates/Failures,negative binomial,"DF, parameter estimate, standard error, chi-square, p for the following: Intercept, Group (treated v. control), Termination, Age, Gender, Prior imprisonment, Previous convictions, mean offending frequency (terminated = 0.15 days, not terminated = 0.04,  cont = 0.62)",group (treated v. control),-1.583,0.529,1,51
1a,Lind et al.,2002,NSW,theft or drug offences,mean annualized arrests (regressed),free time,No,DC,standard,NA,Graduates/Failures,negative binomial,"group (treatment vs control p<.0001), participation status (terminated vs not terminated <0.0001),  mean offending frequency (terminated = 5.98, days, not terminated = 1.04,  cont = 4.66)",NA,NA,NA,NA,52
1a,Lind et al.,2002,NSW,theft offences,mean annualized arrests (regressed),elapsed time,No,DC,standard,NA,Graduates/Failures,negative binomial,"DF, parameter estimate, standard error, chi-square, p for the following: Intercept, Group (treated v. control), Termination, Age, Gender, Prior imprisonment, Previous convictions, mean offending frequency (terminated = 1.55, days, not terminated = 0.61,  cont = 0.90)",group (treated v. control),-0.357,0.203,1,53
1a,Lind et al.,2002,NSW,drug offences,mean annualized arrests (regressed),elapsed time,No,DC,standard,NA,Graduates/Failures,negative binomial,"DF, parameter estimate, standard error, chi-square, p for the following: Intercept, Group (treated v. control), Termination, Age, Gender, Prior imprisonment, Previous convictions, mean offending frequency (terminated = 0.11, days, not terminated = 0.03,  cont = 0.90)",group (treated v. control),-0.955,0.525,1,53
1a,Lind et al.,2002,NSW,theft or drug offences,mean annualized arrests (regressed),elapsed time,No,DC,standard,NA,Graduates/Failures,negative binomial,"group (treatment vs control, terminated vs not terminated), p values, mean time to first offence for three groups, mean offending frequency (terminated = 1.65, days, not terminated = 0.64,  cont = 1.02)",NA,NA,NA,NA,54
1b,Shanahan et al 2004,2004,NSW,shoplifting offences,time to first offence,free time,No,DC,standard,NA,Graduates/Failures,survival analysis,"log rank, wilcoxon (grads vs prisoners), log-rank: p = .016",NA,NA,NA,NA,18
1b,Shanahan et al 2004,2004,NSW,drug offences,time to first offence,free time,No,DC,standard,NA,Graduates/Failures,survival analysis,"proportion estimates reported, log-rank: p = .005",NA,NA,NA,NA,19
2,Ross,2015,VIC,conviction,survival (regressed),elapsed time,Yes,CC,NA,NA,NA,Cox regression (with covariates),"B, SE, Wald, df, p value, Exp(B) for the following variables: case type (NJC vs control), covariates held constant: number of priors, proven offences",Case type (NJC or comparison),0.702,0.171,4.305,6
2,Ross,2015,VIC,conviction,survival (regressed),elapsed time,Yes,CC,NA,NA,NA,Cox regression (survival time), the failure curves (1 minus survival upto 900 days) for the NJC and comparison groups in this regression model,NA,NA,NA,NA,6
3,Lulham,2009,NSW,offence,% offence episodes (regressed),elapsed time,Yes,Drug diversion,standard,NA,Graduates/Failures,recursive bivariate probit model that employs a maximum likelihood method to estimate consistent treatment effect estimates,"treatment (merit/control:ref), gender(male/female:ref) , indigenous status (yes/no:ref), age (18-22, 23-27, 28-33, 34+:ref), concurrent offences(1, 2+, 0:ref), prior offences (0=1:ref, 2-4, 5-7, 8+), offences two years prior (y/n:ref), custody 2 years prior (y/n:ref), prior theft offences (0:ref, 1-3, 3+), prior drug offences (y/n:ref), offence seriousness (high/low:ref), disadvantage (less/more:ref)), remoteness (less/more:ref).",Treatment (MERIT),-0.12,0.14,NA,8
3,Lulham,2009,NSW,offence,% offence episodes (regressed),elapsed time,Yes,Drug diversion,standard,NA,Graduates,recursive bivariate probit model that employs a maximum likelihood method to estimate consistent treatment effect estimates,"treatment (merit/control:ref), gender(male/female:ref) , indigenous status (yes/no:ref), age (18-22, 23-27, 28-33, 34+:ref), concurrent offences(1, 2+, 0:ref), prior offences (0=1:ref, 2-4, 5-7, 8+), offences two years prior (y/n:ref), custody 2 years prior (y/n:ref), prior theft offences (0:ref, 1-3, 3+), prior drug offences (y/n:ref), offence seriousness (high/low:ref), disadvantage (less/more:ref)), remoteness (less/more:ref).",Treatment (MERIT),-0.42,0.15,NA,8
3,Lulham,2009,NSW,theft offence,% offence episodes (regressed),elapsed time,Yes,Drug diversion,standard,NA,Graduates/Failures,recursive bivariate probit model that employs a maximum likelihood method to estimate consistent treatment effect estimates,"treatment (merit/control:ref), gender(male/female:ref) , indigenous status (yes/no:ref), age (18-22, 23-27, 28-33, 34+:ref), concurrent offences(1, 2+, 0:ref), prior offences (0=1:ref, 2-4, 5-7, 8+), offences two years prior (y/n:ref), custody 2 years prior (y/n:ref), prior theft offences (0:ref, 1-3, 3+), prior drug offences (y/n:ref), offence seriousness (high/low:ref), disadvantage (less/more:ref)), remoteness (less/more:ref).",Treatment (MERIT),-0.43,0.19,NA,9
3,Lulham,2009,NSW,theft offence,% offence episodes (regressed),elapsed time,Yes,Drug diversion,standard,NA,Graduates,recursive bivariate probit model that employs a maximum likelihood method to estimate consistent treatment effect estimates,"treatment (merit/control:ref), gender(male/female:ref) , indigenous status (yes/no:ref), age (18-22, 23-27, 28-33, 34+:ref), concurrent offences(1, 2+, 0:ref), prior offences (0=1:ref, 2-4, 5-7, 8+), offences two years prior (y/n:ref), custody 2 years prior (y/n:ref), prior theft offences (0:ref, 1-3, 3+), prior drug offences (y/n:ref), offence seriousness (high/low:ref), disadvantage (less/more:ref)), remoteness (less/more:ref).",Treatment (MERIT),-0.53,0.2,NA,9
3,Lulham,2009,NSW,drug offence,% offence episodes (regressed),elapsed time,Yes,Drug diversion,standard,NA,Graduates/Failures,recursive bivariate probit model that employs a maximum likelihood method to estimate consistent treatment effect estimates,"treatment (merit/control:ref), gender(male/female:ref) , indigenous status (yes/no:ref), age (18-22, 23-27, 28-33, 34+:ref), concurrent offences(1, 2+, 0:ref), prior offences (0=1:ref, 2-4, 5-7, 8+), offences two years prior (y/n:ref), custody 2 years prior (y/n:ref), prior theft offences (0:ref, 1-3, 3+), prior drug offences (y/n:ref), offence seriousness (high/low:ref), disadvantage (less/more:ref)), remoteness (less/more:ref).",Treatment (MERIT),-0.3,0.16,NA,9
3,Lulham,2009,NSW,drug offence,% offence episodes (regressed),elapsed time,Yes,Drug diversion,standard,NA,Graduates,recursive bivariate probit model that employs a maximum likelihood method to estimate consistent treatment effect estimates,"treatment (merit/control:ref), gender(male/female:ref) , indigenous status (yes/no:ref), age (18-22, 23-27, 28-33, 34+:ref), concurrent offences(1, 2+, 0:ref), prior offences (0=1:ref, 2-4, 5-7, 8+), offences two years prior (y/n:ref), custody 2 years prior (y/n:ref), prior theft offences (0:ref, 1-3, 3+), prior drug offences (y/n:ref), offence seriousness (high/low:ref), disadvantage (less/more:ref)), remoteness (less/more:ref).",Treatment (MERIT),-0.31,0.18,NA,9
